00  0.429	-0.209	-0.01

-6	0.649	-0.300	294.39
-4	0.617	-0.2515	295.5
-2	0.5978	-0.2182	294.58
0	0.6021	-0.1828	295.883
2	0.6123	-0.1452	295.02
4	0.6235	-0.1125	294.72
6	0.6553	-0.0824	294.68
8	0.6853	-0.0592	293.92
10	0.7323	-0.0342	294.4
12	0.7976	-0.0318	293.64
14	0.9549	-0.0597	294.14
16	1.022	-0.091	293.8
18	1.056	-0.0971	293.5
20	1.107	-0.0996	293.59

